source,metric_path,metric,value
experiments\20260519_164529_synthetic_forensics_oof\summary.json,additive[3].best_blend_auc,best_blend_auc,0.9466245316866979
experiments\20260519_164529_synthetic_forensics_oof\summary.json,additive[0].base_auc,base_auc,0.9466245316866979
experiments\20260519_163902_synthetic_forensics\summary.json,additive[3].best_blend_auc,best_blend_auc,0.9466245316866979
experiments\20260519_163902_synthetic_forensics\summary.json,additive[3].base_auc,base_auc,0.9466245316866979
experiments\20260519_164529_synthetic_forensics_oof\summary.json,additive[2].base_auc,base_auc,0.9466245316866979
experiments\20260519_164529_synthetic_forensics_oof\summary.json,additive[2].best_blend_auc,best_blend_auc,0.9466245316866979
experiments\20260519_164529_synthetic_forensics_oof\summary.json,additive[1].base_auc,base_auc,0.9466245316866979
experiments\20260519_164529_synthetic_forensics_oof\summary.json,additive[3].base_auc,base_auc,0.9466245316866979
experiments\20260518_165505_phase2_cat_fast_stratified\summary.json,oof_auc,oof_auc,0.9466245316866979
experiments\20260518_191305_phase2_cat_table_ensemble_summary.json,hill_recipe[0].auc,auc,0.9466245316866979
experiments\20260519_163902_synthetic_forensics\summary.json,additive[2].best_blend_auc,best_blend_auc,0.9466245316866979
experiments\20260519_163902_synthetic_forensics\summary.json,additive[2].base_auc,base_auc,0.9466245316866979
experiments\20260519_163902_synthetic_forensics\summary.json,additive[1].base_auc,base_auc,0.9466245316866979
experiments\20260519_144202_phase3_specialist_ensemble_ensemble_summary.json,rank_auc,rank_auc,0.9463571330212455
experiments\20260519_144202_phase3_specialist_ensemble_ensemble_summary.json,mean_auc,mean_auc,0.9463131159194069
experiments\20260519_165532_cat_seed_diversity_probe\summary.json,greedy_recipe[0].auc,auc,0.9445066214035975
experiments\20260519_165532_cat_seed_diversity_probe\summary.json,lowcorr_auc,lowcorr_auc,0.9445066214035975
experiments\20260519_165532_cat_seed_diversity_probe\summary.json,blend_report[1].oof_auc,oof_auc,0.9445066214035975
experiments\20260519_165532_cat_seed_diversity_probe\summary.json,blend_report[0].oof_auc,oof_auc,0.9445066214035975
experiments\20260519_165532_cat_seed_diversity_probe\summary.json,best_single.oof_auc,oof_auc,0.9445066214035975
experiments\20260519_165532_cat_seed_diversity_probe\summary.json,greedy_auc,greedy_auc,0.9445066214035975
experiments\20260519_160100_phase6_xgbrank\summary.json,rankers[1].oof_auc,oof_auc,0.9439340838250108
experiments\20260520_144726_fast_catboost_diversity_12\summary.json,greedy_auc,greedy_auc,0.9436474123458458
